ID	SENTENCE_ID	YEAR	TEXT	GENRE	CLAUSE_TYPE	SUBJTOP-V	V-SUBJTOP	XP-V-SUBJTOP
1	  1650.ILLUGI.NAR-SAG,LAST	1650	ILLUGI	NAR	IP-MAT	1	0	0
2	  1661.INDIAFARI.BIO-TRA,LAST	1661	INDIAFARI	BIO	IP-MAT	0	1	0
3	  1675.MAGNUS.BIO-OTH,LAST	1675	MAGNUS	BIO	IP-MAT	0	1	0
4	  1888.GRIMUR.NAR-FIC,LAST	1888	GRIMUR	NAR	IP-MAT-SPE	0	0	1
5	  1907.LEYSING.NAR-FIC,LAST	1907	LEYSING	NAR	IP-MAT-SPE	1	0	0
6	  1985.MARGSAGA.NAR-FIC,LAST	1985	MARGSAGA	NAR	IP-MAT	1	0	0
7	1150.FIRSTGRAMMAR.SCI-LIN,.100	1150	FIRSTGRAMMAR	SCI	IP-MAT	0	1	0
8	1150.FIRSTGRAMMAR.SCI-LIN,.102	1150	FIRSTGRAMMAR	SCI	IP-MAT	1	0	0
9	1150.FIRSTGRAMMAR.SCI-LIN,.104	1150	FIRSTGRAMMAR	SCI	IP-MAT	1	0	0
10	1150.FIRSTGRAMMAR.SCI-LIN,.107	1150	FIRSTGRAMMAR	SCI	IP-MAT	0	0	1
11	1150.FIRSTGRAMMAR.SCI-LIN,.118	1150	FIRSTGRAMMAR	SCI	IP-MAT	0	1	0
12	1150.FIRSTGRAMMAR.SCI-LIN,.125	1150	FIRSTGRAMMAR	SCI	IP-MAT	0	0	1
13	1150.FIRSTGRAMMAR.SCI-LIN,.127	1150	FIRSTGRAMMAR	SCI	IP-MAT	0	0	1
14	1150.FIRSTGRAMMAR.SCI-LIN,.128	1150	FIRSTGRAMMAR	SCI	IP-MAT	0	0	1
15	1150.FIRSTGRAMMAR.SCI-LIN,.138	1150	FIRSTGRAMMAR	SCI	IP-MAT	0	0	1
16	1150.FIRSTGRAMMAR.SCI-LIN,.139	1150	FIRSTGRAMMAR	SCI	IP-MAT	0	1	0
17	1150.FIRSTGRAMMAR.SCI-LIN,.151	1150	FIRSTGRAMMAR	SCI	IP-MAT	0	0	1
18	1150.FIRSTGRAMMAR.SCI-LIN,.152	1150	FIRSTGRAMMAR	SCI	IP-MAT	1	0	0
19	1150.FIRSTGRAMMAR.SCI-LIN,.156	1150	FIRSTGRAMMAR	SCI	IP-MAT	0	0	1
20	1150.FIRSTGRAMMAR.SCI-LIN,.21	1150	FIRSTGRAMMAR	SCI	IP-MAT-SPE	1	0	0
21	1150.FIRSTGRAMMAR.SCI-LIN,.22	1150	FIRSTGRAMMAR	SCI	IP-MAT-SPE	0	1	0
22	1150.FIRSTGRAMMAR.SCI-LIN,.23	1150	FIRSTGRAMMAR	SCI	IP-MAT-SPE	0	1	0
